LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	Yes
X_Columns	One
Time_Pref	Absolute
Operator	Microsoft
Date	2023/11/24
Time	16:46:27.6817073822021484375
***End_of_Header***	
	
Channels	1	
Samples	100000	
Date	2023/11/24	
Time	16:46:27.6817073822021484375	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value	Untitled	Comment
376.000000	-0.105316
377.000000	-0.108698
378.000000	-0.112080
379.000000	-0.115623
380.000000	-0.118683
381.000000	-0.120455
382.000000	-0.122548
383.000000	-0.126413
384.000000	-0.128185
385.000000	-0.131889
386.000000	-0.133822
387.000000	-0.137043
388.000000	-0.141069
389.000000	-0.143162
390.000000	-0.146705
391.000000	-0.149604
392.000000	-0.152986
393.000000	-0.155563
394.000000	-0.157334
395.000000	-0.163454
396.000000	-0.164259
397.000000	-0.166675
398.000000	-0.169574
399.000000	-0.174566
400.000000	-0.176499
401.000000	-0.178432
402.000000	-0.181653
403.000000	-0.184390
404.000000	-0.188900
405.000000	-0.190993
406.000000	-0.194858
407.000000	-0.196791
408.000000	-0.200173
409.000000	-0.203716
410.000000	-0.206454
411.000000	-0.208547
412.000000	-0.212413
413.000000	-0.215956
414.000000	-0.217727
415.000000	-0.219982
416.000000	-0.223364
417.000000	-0.225940
418.000000	-0.231255
419.000000	-0.233188
420.000000	-0.235442
421.000000	-0.238663
422.000000	-0.241401
423.000000	-0.245105
424.000000	-0.247682
425.000000	-0.250742
426.000000	-0.253479
427.000000	-0.256539
428.000000	-0.259599
429.000000	-0.262659
430.000000	-0.264914
431.000000	-0.267491
432.000000	-0.270228
433.000000	-0.274255
434.000000	-0.277475
435.000000	-0.278603
436.000000	-0.282951
437.000000	-0.286977
438.000000	-0.289232
439.000000	-0.290520
440.000000	-0.295191
441.000000	-0.296479
442.000000	-0.299861
443.000000	-0.302277
444.000000	-0.304531
445.000000	-0.306625
446.000000	-0.310812
447.000000	-0.311456
448.000000	-0.312101
449.000000	-0.314677
450.000000	-0.314033
451.000000	-0.316771
452.000000	-0.317093
453.000000	-0.318381
454.000000	-0.318381
455.000000	-0.318059
456.000000	-0.318220
457.000000	-0.318703
458.000000	-0.319348
459.000000	-0.319992
460.000000	-0.320958
461.000000	-0.319187
462.000000	-0.318542
463.000000	-0.318381
464.000000	-0.319992
465.000000	-0.319187
466.000000	-0.319509
467.000000	-0.318865
468.000000	-0.318542
469.000000	-0.319026
470.000000	-0.319670
471.000000	-0.319026
472.000000	-0.318220
473.000000	-0.317415
474.000000	-0.319348
475.000000	-0.318542
476.000000	-0.317898
477.000000	-0.318059
478.000000	-0.318703
479.000000	-0.319026
480.000000	-0.318703
481.000000	-0.318381
482.000000	2.717522
483.000000	3.008697
484.000000	3.087450
485.000000	3.124169
486.000000	3.150581
487.000000	3.124974
488.000000	3.134959
489.000000	3.134315
490.000000	3.125135
491.000000	3.138502
492.000000	3.109030
493.000000	3.109513
494.000000	3.116116
495.000000	3.095180
496.000000	3.084229
497.000000	3.075049
498.000000	3.067319
499.000000	3.058622
500.000000	3.059910
501.000000	3.057817
502.000000	3.047349
503.000000	3.039296
504.000000	3.048476
505.000000	3.045255
506.000000	3.033015
507.000000	3.025929
508.000000	3.022547
509.000000	3.016749
510.000000	3.013528
511.000000	3.008375
512.000000	2.993236
513.000000	2.980997
514.000000	2.973749
515.000000	2.976004
516.000000	2.972944
517.000000	2.962798
518.000000	2.954263
519.000000	2.938641
520.000000	2.941862
521.000000	2.933487
522.000000	2.924469
523.000000	2.928978
524.000000	2.930105
525.000000	2.929139
526.000000	2.916738
527.000000	2.905787
528.000000	2.908042
529.000000	2.914645
530.000000	2.904821
531.000000	2.900472
532.000000	2.900956
533.000000	2.897251
534.000000	2.887105
535.000000	2.880180
536.000000	2.872450
537.000000	2.876154
538.000000	2.876798
539.000000	2.860532
540.000000	2.857472
541.000000	2.856828
542.000000	2.850386
543.000000	2.838630
544.000000	2.835570
545.000000	2.830738
546.000000	2.829772
547.000000	2.847649
548.000000	2.837825
549.000000	2.832027
550.000000	2.823974
551.000000	2.811896
552.000000	2.812218
553.000000	2.802072
554.000000	2.808353
555.000000	2.798851
556.000000	2.787255
557.000000	2.790798
558.000000	2.775016
559.000000	2.780169
560.000000	2.759716
561.000000	2.761649
562.000000	2.767930
563.000000	2.763742
564.000000	2.760521
565.000000	2.762132
566.000000	2.762776
567.000000	2.759072
568.000000	2.757300
569.000000	2.746188
570.000000	2.739585
571.000000	2.734593
572.000000	2.734271
573.000000	2.727345
574.000000	2.726379
575.000000	2.717360
576.000000	2.706731
577.000000	2.705604
578.000000	2.707214
579.000000	2.719776
580.000000	2.712690
581.000000	2.713978
582.000000	2.691915
583.000000	2.687889
584.000000	2.686922
585.000000	2.684507
586.000000	2.673233
587.000000	2.673716
588.000000	2.667113
589.000000	2.665181
590.000000	2.656967
591.000000	2.632649
592.000000	2.647143
593.000000	2.660994
594.000000	2.650364
595.000000	2.648754
596.000000	2.643439
597.000000	2.645372
598.000000	2.643922
599.000000	2.639413
600.000000	2.633937
601.000000	2.627979
602.000000	2.623147
603.000000	2.621698
604.000000	2.616061
605.000000	2.604949
606.000000	2.605271
607.000000	2.597863
608.000000	2.593031
609.000000	2.606559
610.000000	2.605432
611.000000	2.601245
612.000000	2.588039
613.000000	2.579503
614.000000	2.570646
615.000000	2.569035
616.000000	2.561627
617.000000	2.563559
618.000000	2.562432
619.000000	2.555024
620.000000	2.530223
621.000000	2.536825
622.000000	2.538275
623.000000	2.539080
624.000000	2.534410
625.000000	2.537470
626.000000	2.533121
627.000000	2.536342
628.000000	2.531028
629.000000	2.527485
630.000000	2.519271
631.000000	2.520238
632.000000	2.515728
633.000000	2.506387
634.000000	2.497691
635.000000	2.493665
636.000000	2.488672
637.000000	2.490766
638.000000	2.490927
639.000000	2.496563
640.000000	2.493665
641.000000	2.481264
642.000000	2.475627
643.000000	2.463549
644.000000	2.466125
645.000000	2.462260
646.000000	2.452597
647.000000	2.456785
648.000000	2.450665
649.000000	2.434238
650.000000	2.417167
651.000000	2.428118
652.000000	2.437137
653.000000	2.428601
654.000000	2.435848
655.000000	2.429890
656.000000	2.425058
657.000000	2.426669
658.000000	2.425702
659.000000	2.413463
660.000000	2.408953
661.000000	2.405732
662.000000	2.393976
663.000000	2.393976
664.000000	2.396070
665.000000	2.383830
666.000000	2.384796
667.000000	2.390111
668.000000	2.385118
669.000000	2.388983
670.000000	2.374650
671.000000	2.365793
672.000000	2.357096
673.000000	2.356291
674.000000	2.351620
675.000000	2.347755
676.000000	2.346145
677.000000	2.349688
678.000000	2.325047
679.000000	2.311680
680.000000	2.325692
681.000000	2.324564
682.000000	2.321987
683.000000	2.323115
684.000000	2.316673
685.000000	2.322632
686.000000	2.311358
687.000000	2.308298
688.000000	2.310392
689.000000	2.304594
690.000000	2.297830
691.000000	2.284946
692.000000	2.283658
693.000000	2.281887
694.000000	2.277377
695.000000	2.273995
696.000000	2.277860
697.000000	2.272707
698.000000	2.266909
699.000000	2.265460
700.000000	2.256763
701.000000	2.248067
702.000000	2.249033
703.000000	2.241947
704.000000	2.239370
705.000000	2.232123
706.000000	2.231801
707.000000	2.215857
708.000000	2.206194
709.000000	2.212314
710.000000	2.218917
711.000000	2.215213
712.000000	2.216179
713.000000	2.206516
714.000000	2.204584
715.000000	2.206194
716.000000	2.192827
717.000000	2.196209
718.000000	2.184936
719.000000	2.175595
720.000000	2.170925
721.000000	2.168831
722.000000	2.161423
723.000000	2.167382
724.000000	2.166254
725.000000	2.162872
726.000000	2.156752
727.000000	2.151277
728.000000	2.151760
729.000000	2.141614
730.000000	2.140648
731.000000	2.128086
732.000000	2.124704
733.000000	2.120195
734.000000	2.125026
735.000000	2.115202
736.000000	2.104734
737.000000	2.095232
738.000000	2.096198
739.000000	2.102157
740.000000	2.108599
741.000000	2.092333
742.000000	2.087019
743.000000	2.091850
744.000000	2.078000
745.000000	2.077839
746.000000	2.069142
747.000000	2.072524
748.000000	2.055292
749.000000	2.052877
750.000000	2.047562
751.000000	2.044502
752.000000	2.046757
753.000000	2.045791
754.000000	2.040154
755.000000	2.033551
756.000000	2.034839
757.000000	2.029042
758.000000	2.023405
759.000000	2.017607
760.000000	2.014708
761.000000	2.008589
762.000000	2.005207
763.000000	1.996832
764.000000	1.988941
765.000000	1.977828
766.000000	1.976379
767.000000	1.983787
768.000000	1.990873
769.000000	1.984592
770.000000	1.974769
771.000000	1.966394
772.000000	1.956570
773.000000	1.954960
774.000000	1.957536
775.000000	1.946263
776.000000	1.944492
777.000000	1.935795
778.000000	1.932896
779.000000	1.919368
780.000000	1.920496
781.000000	1.920818
782.000000	1.921140
783.000000	1.913087
784.000000	1.909061
785.000000	1.909544
786.000000	1.904552
787.000000	1.899398
788.000000	1.892151
789.000000	1.885709
790.000000	1.881522
791.000000	1.875402
792.000000	1.874275
793.000000	1.866384
794.000000	1.861069
795.000000	1.850601
796.000000	1.860908
797.000000	1.861391
798.000000	1.860264
799.000000	1.844803
800.000000	1.840616
801.000000	1.829665
802.000000	1.826444
803.000000	1.826605
804.000000	1.818391
805.000000	1.816620
806.000000	1.805830
807.000000	1.800676
808.000000	1.786343
809.000000	1.789886
810.000000	1.792946
811.000000	1.789725
812.000000	1.781028
813.000000	1.781834
814.000000	1.773942
815.000000	1.773620
816.000000	1.767822
817.000000	1.758321
818.000000	1.754133
819.000000	1.749463
820.000000	1.742216
821.000000	1.736257
822.000000	1.733036
823.000000	1.727722
824.000000	1.724179
825.000000	1.723534
826.000000	1.725628
827.000000	1.714677
828.000000	1.711778
829.000000	1.700021
830.000000	1.695190
831.000000	1.692130
832.000000	1.688265
833.000000	1.686171
834.000000	1.680857
835.000000	1.671033
836.000000	1.657988
837.000000	1.652512
838.000000	1.655250
839.000000	1.656861
840.000000	1.647520
841.000000	1.644299
842.000000	1.640917
843.000000	1.641239
844.000000	1.637213
845.000000	1.627389
846.000000	1.616116
847.000000	1.617887
848.000000	1.612412
849.000000	1.600333
850.000000	1.599367
851.000000	1.593730
852.000000	1.586000
853.000000	1.587288
854.000000	1.587449
855.000000	1.588255
856.000000	1.575371
857.000000	1.567640
858.000000	1.563292
859.000000	1.556206
860.000000	1.547349
861.000000	1.543967
862.000000	1.538008
863.000000	1.534143
864.000000	1.529311
865.000000	1.515139
866.000000	1.515944
867.000000	1.510147
868.000000	1.514495
869.000000	1.509825
870.000000	1.505637
871.000000	1.496619
872.000000	1.495813
873.000000	1.494525
874.000000	1.486795
875.000000	1.477615
876.000000	1.475038
877.000000	1.470368
878.000000	1.459256
879.000000	1.457806
880.000000	1.451525
881.000000	1.445083
882.000000	1.441218
883.000000	1.441540
884.000000	1.440896
885.000000	1.429784
886.000000	1.429623
887.000000	1.418028
888.000000	1.413518
889.000000	1.407076
890.000000	1.401923
891.000000	1.398058
892.000000	1.391616
893.000000	1.382436
894.000000	1.374706
895.000000	1.368908
896.000000	1.365043
897.000000	1.365204
898.000000	1.366331
899.000000	1.361983
900.000000	1.354575
901.000000	1.351193
902.000000	1.348294
903.000000	1.341369
904.000000	1.338631
905.000000	1.326714
906.000000	1.328002
907.000000	1.317534
908.000000	1.312864
909.000000	1.310448
910.000000	1.304650
911.000000	1.299014
912.000000	1.297403
913.000000	1.294504
914.000000	1.289512
915.000000	1.280815
916.000000	1.276789
917.000000	1.271797
918.000000	1.266321
919.000000	1.261651
920.000000	1.260201
921.000000	1.252471
922.000000	1.242808
923.000000	1.237171
924.000000	1.232179
925.000000	1.225415
926.000000	1.225898
927.000000	1.230085
928.000000	1.223644
929.000000	1.217846
930.000000	1.213014
931.000000	1.209955
932.000000	1.203513
933.000000	1.200775
934.000000	1.194816
935.000000	1.189179
936.000000	1.185636
937.000000	1.178389
938.000000	1.174524
939.000000	1.170981
940.000000	1.165344
941.000000	1.161640
942.000000	1.161962
943.000000	1.156165
944.000000	1.154232
945.000000	1.146824
946.000000	1.146663
947.000000	1.137805
948.000000	1.132330
949.000000	1.132169
950.000000	1.123150
951.000000	1.117191
952.000000	1.112038
953.000000	1.104469
954.000000	1.101731
955.000000	1.097060
956.000000	1.105113
957.000000	1.100765
958.000000	1.098188
959.000000	1.094323
960.000000	1.088042
961.000000	1.080634
962.000000	1.076768
963.000000	1.074836
964.000000	1.068072
965.000000	1.065012
966.000000	1.061147
967.000000	1.056638
968.000000	1.051001
969.000000	1.051162
970.000000	1.048424
971.000000	1.047297
972.000000	1.044398
973.000000	1.039567
974.000000	1.038922
975.000000	1.035540
976.000000	1.028454
977.000000	1.025878
978.000000	1.022335
979.000000	1.020563
980.000000	1.012994
981.000000	1.008807
982.000000	1.006391
983.000000	1.002204
984.000000	0.996406
985.000000	0.998178
986.000000	1.001559
987.000000	1.000593
988.000000	0.995923
989.000000	0.991414
990.000000	0.987065
991.000000	0.984811
992.000000	0.982395
993.000000	0.976436
994.000000	0.973215
995.000000	0.974987
996.000000	0.969833
997.000000	0.966773
998.000000	0.964680
999.000000	0.965002
1000.000000	0.964036
1001.000000	0.960331
1002.000000	0.959848
1003.000000	0.958238
1004.000000	0.956627
1005.000000	0.954534
1006.000000	0.948897
1007.000000	0.950991
1008.000000	0.947770
1009.000000	0.945354
1010.000000	0.936335
1011.000000	0.935208
1012.000000	0.935530
1013.000000	0.934242
1014.000000	0.927317
1015.000000	0.934886
1016.000000	0.936174
1017.000000	0.933920
1018.000000	0.932470
1019.000000	0.931665
1020.000000	0.921841
1021.000000	0.924257
1022.000000	0.924579
1023.000000	0.919909
1024.000000	0.917332
1025.000000	0.916849
1026.000000	0.914433
1027.000000	0.911856
1028.000000	0.909763
1029.000000	0.913789
1030.000000	0.911534
1031.000000	0.915560
1032.000000	0.911373
1033.000000	0.908796
1034.000000	0.908313
1035.000000	0.908474
1036.000000	0.909118
1037.000000	0.907025
1038.000000	0.906059
1039.000000	0.901871
1040.000000	0.899939
1041.000000	0.898006
1042.000000	0.898006
1043.000000	0.895429
1044.000000	0.892209
1045.000000	0.899295
1046.000000	0.901227
1047.000000	0.900261
1048.000000	0.899778
1049.000000	0.899134
1050.000000	0.896074
1051.000000	0.894302
1052.000000	0.891564
1053.000000	0.890598
1054.000000	0.892047
1055.000000	0.890276
1056.000000	0.889149
1057.000000	0.885928
1058.000000	0.889310
1059.000000	0.889793
1060.000000	0.890437
1061.000000	0.892047
1062.000000	0.890759
1063.000000	0.888343
1064.000000	0.887860
1065.000000	0.888343
1066.000000	0.889471
1067.000000	0.888665
1068.000000	0.888021
1069.000000	0.885606
1070.000000	0.883190
1071.000000	0.882546
1072.000000	0.883673
1073.000000	0.883029
1074.000000	0.887538
1075.000000	0.884800
1076.000000	0.888827
1077.000000	0.888343
1078.000000	0.888665
1079.000000	0.885767
1080.000000	0.880774
