nu,[0]CO2-HITRAN:X=0.2-T=296K-P=1atm-L=4000cm
6361.185,0.8894084384714028
6361.188,0.9219405489858494
6361.191,0.9551480943497674
6361.194,0.9889046588265796
6361.197,1.023057453643443
6361.2,1.0574256596408407
6361.203,1.0917993394577068
6361.206,1.125939119600235
6361.209,1.1595768519358962
6361.212,1.1924174582809666
6361.215,1.2241421359645748
6361.218,1.2544130525629877
6361.221,1.2828795822909667
6361.224,1.3091860356705678
6361.227,1.3329807128450335
6361.23,1.3539259784578077
6361.233,1.3717089257499122
6361.236,1.386052085825184
6361.239,1.3967235621312166
6361.242,1.4035459453180472
6361.245,1.4064033998517194
6361.248,1.4052464134092295
6361.251,1.4000938563259242
6361.254,1.3910321954929565
6361.257,1.3782119226634881
6361.26,1.3618414655588083
6361.263,1.3421790271160332
6361.266,1.3195229245915678
6361.269,1.2942010650667024
6361.272,1.2665601955004433
6361.275,1.2369555107212395
6361.278,1.2057411049330273
6361.281,1.1732616281486679
6361.284,1.139845375540493
6361.287,1.1057989099438696
6361.29,1.0714032068176211
6361.293,1.0369112235891191
6361.296,1.002546734016599
6361.299,0.9685042320843872
6361.302,0.9349496957379149
6361.305,0.9020220039014023
6361.308,0.8698348157627547
6361.311,0.8384787446123769
6361.314,0.808023685643511
6361.317,0.7785211850060821
6361.32,0.7500067638979016
6361.323,0.7225021352249997
6361.326,0.6960172706702192
6361.329,0.6705522926688972
6361.332,0.6460991789307926
6361.335,0.6226432771022218
6361.338,0.6001646343700684
6361.341,0.5786391517413302
6361.344,0.5580395758444919
6361.347,0.5383363428057447
6361.35,0.5194982894107602
6361.353,0.5014932466677546
6361.356,0.4842885302778318
6361.359,0.4678513415798639
6361.362,0.4521490914098081
6361.365,0.43714965810185596
6361.368,0.42282158963401156
6361.371,0.4091342587337626
6361.374,0.39605797864197434
6361.377,0.38356408620372023
6361.38,0.3716249980223151
6361.383,0.36021424457950235
6361.386,0.3493064864881744
6361.389,0.33887751639886177
6361.392,0.3289042495205564
6361.395,0.3193647052323704
6361.398,0.3102379818470588
6361.401,0.3015042262326329
6361.404,0.29314459969669715
6361.407,0.28514124128284446
6361.41,0.27747722941315445
6361.413,0.2701365426299233
6361.416,0.2631040200382763
6361.419,0.25636532192482026
6361.422,0.24990689092222512
6361.425,0.24371591400226317
6361.428,0.2377802855075038
6361.431,0.23208857137212757
6361.434,0.2266299746330702
6361.437,0.22139430229216978
6361.44,0.21637193355657727
6361.443,0.21155378945715736
6361.446,0.20693130382180694
6361.449,0.20249639556162505
6361.452,0.19824144221183976
6361.455,0.1941592546557348
6361.458,0.1902430529478342
6361.461,0.18648644314193083
6361.464,0.18288339501969214
6361.467,0.17942822060628916
6361.47,0.1761155533504956
6361.473,0.17294032783784258
6361.476,0.16989775989661648
6361.479,0.16698332694776627
6361.482,0.16419274844126244
6361.485,0.16152196621342346
6361.488,0.15896712459255385
6361.491,0.15652455007460717
6361.494,0.154190730387265
6361.497,0.15196229276092404
6361.5,0.14983598123002317
6361.503,0.14780863279957973
6361.506,0.14587715233185136
6361.509,0.14403848603907043
6361.512,0.14228959351295808
6361.515,0.14062741828311728
6361.518,0.13904885697751032
6361.521,0.13755072726185036
6361.524,0.1361297348632678
6361.527,0.13478244013839608
6361.53,0.1335052248268605
6361.533,0.13229425983543527
